reference_id,trade_date,time_of_trade,underlying,expiration_date,strike_price,trade_type,open_interest,ind,exchange_code,spread,premium_price,trade_size,bid_size,bid_price,ask_price,ask_size,edge,lean_size,size_ratio,trade_count,delta,theta,vega,gamma,sigma,rho
280281898,2018-02-12,10:32:07:962000,BA,2018-03-16,360,P,747,AUTOX,T,0.9,25.2,2,559,24.3,25.2,492,100,492,-13.62,16,-0.725,-56.562,33.641,0.011,0.3,-23.905
280282321,2018-02-12,10:32:20:761000,CBOE,2018-06-15,110,C,425,AUTOX,X,0.8,10.3,1,895,9.5,10.3,510,100,510,-75.49,115,0.599,-12.014,25.41,0.019,0.315,19.542
280284664,2018-02-12,10:33:30:233000,OLED,2018-06-15,160,C,332,REG,C,1,17.7,1,309,16.7,17.7,214,100,214,-44.39,7,0.488,-33.003,34.082,0.007,0.651,18.421
280284700,2018-02-12,10:33:31:145000,BRKB,2018-03-16,190,C,1968,AUTOX,H,0.95,11.55,10,304,10.6,11.55,990,100,990,69.29,13,0,0,0,0,0,0
280284701,2018-02-12,10:33:31:145000,BRKB,2018-03-16,190,C,1968,AUTOX,E,0.95,11.55,7,314,10.6,11.55,1046,100,1046,69.98,13,0,0,0,0,0,0
280284702,2018-02-12,10:33:31:145000,BRKB,2018-03-16,190,C,1968,AUTOX,E,0.95,11.55,3,314,10.6,11.55,1046,100,1046,69.98,13,0,0,0,0,0,0
280285275,2018-02-12,10:33:44:753000,MAT,2018-03-16,20,C,123,ISOI,X,0.9,0.95,5,5,0.05,0.95,789,100,789,99.37,4,0.259,-5.25,1.71,0.114,0.54,0.37
280286723,2018-02-12,10:34:20:873000,SHOP,2018-07-20,125,C,277,AUTOX,X,1.2,16.6,10,904,15.4,16.6,739,100,739,-22.33,6,0.557,-19.024,32.187,0.01,0.509,22.921
280288589,2018-02-12,10:35:16:823000,TSLA,2018-02-16,330,P,2743,AUTOX,A,0.8,23.1,2,311,22.3,23.1,222,100,222,-40.09,46,-0.853,-190.427,7.608,0.012,0.576,-3.278
280288590,2018-02-12,10:35:16:823000,TSLA,2018-02-16,330,P,2743,AUTOX,A,0.8,23.1,2,311,22.3,23.1,222,100,222,-40.09,46,-0.853,-190.427,7.608,0.012,0.576,-3.278
280290985,2018-02-12,10:36:23:578000,BRKB,2018-03-16,190,C,1968,AUTOX,X,0.9,11.5,5,802,10.6,11.5,903,100,903,11.18,13,0,0,0,0,0,0
280291583,2018-02-12,10:36:36:314000,ANET,2018-03-16,280,C,249,ISOI,P,2.5,20.8,1,434,18.3,20.8,451,100,451,3.77,22,0.547,-106.592,33.098,0.008,0.565,11.825
280292443,2018-02-12,10:37:01:229000,DFEN,2018-07-20,47,P,18,AUTOX,Z,1.3,8.9,1,1,7.6,8.9,249,100,249,99.6,1,-0.422,-9.594,11.897,0.018,0.704,-12.311
280293255,2018-02-12,10:37:19:909000,JDST,2018-02-16,59.5,C,29,REG,M,1.15,3.8,1,1161,2.65,3.8,1869,100,1869,37.88,3,0.499,-147.713,2.514,0.047,1.346,0.301
280295693,2018-02-12,10:38:24:281000,OLED,2018-06-15,160,C,332,REG,C,1,17.8,1,388,16.8,17.8,277,100,277,-40.07,7,0.491,-32.958,34.197,0.007,0.648,18.586
280296108,2018-02-12,10:38:34:504000,INCY,2018-06-15,95,C,241,ISOI,E,1.7,11.7,1,192,10,11.7,312,100,312,38.46,4,0.499,-19.829,20.447,0.012,0.652,11.247
280301460,2018-02-12,10:40:24:322000,BIDU,2018-02-23,230,C,127,AUTOX,X,0.9,5.25,5,127,4.35,5.25,414,100,414,69.32,38,0.348,-123.541,14.28,0.018,0.529,2.212
280308355,2018-02-12,10:42:30:422000,MOH,2018-02-16,80,P,185,REG,C,1.3,5.5,3,1,4.2,5.5,347,100,347,99.71,7,-0.557,-144.941,3.31,0.047,1.004,-0.548
280309974,2018-02-12,10:43:11:967000,PX,2018-03-16,160,P,5381,AUTOX,J,2.1,11.9,5,256,9.8,11.9,264,100,264,3.03,5,-0.695,-28.242,15.765,0.024,0.319,-10.248
280314891,2018-02-12,10:45:13:285000,ALXN,2019-01-18,135,C,102,AUTOX,X,1,10.8,5,99,9.8,10.8,245,100,245,59.59,47,0.422,-10.056,42.954,0.008,0.432,33.832
280314892,2018-02-12,10:45:13:286000,ALXN,2019-01-18,135,C,102,REG,C,1,10.8,5,99,9.8,10.8,249,100,249,60.24,47,0.422,-10.056,42.954,0.008,0.432,33.832
280316240,2018-02-12,10:45:46:499000,ORLY,2018-03-16,240,P,115,ISOI,C,0.8,7.3,37,70,6.5,7.3,553,100,553,87.34,925,-0.348,-56.167,27.291,0.014,0.364,-8.212
280316736,2018-02-12,10:45:58:893000,WDAY,2018-03-16,120,C,6301,ISOI,M,0.9,5.1,1,1209,4.2,5.1,607,100,607,-99.18,8,0.449,-34.018,13.738,0.026,0.435,4.207
280321655,2018-02-12,10:48:03:150000,ITW,2018-02-16,170,P,1534,ISOI,A,1.2,9.4,1,426,8.2,9.4,1121,100,1121,62,6,-0.934,-30.447,2.216,0.023,0.319,-1.825
280321656,2018-02-12,10:48:03:150000,ITW,2018-02-16,170,P,1534,ISOI,E,1.2,9.4,1,426,8.2,9.4,1119,100,1119,61.93,6,-0.934,-30.447,2.216,0.023,0.319,-1.825
280321657,2018-02-12,10:48:03:151000,ITW,2018-02-16,170,P,1534,ISOI,I,1.2,9.4,1,426,8.2,9.4,1118,100,1118,61.9,6,-0.934,-30.447,2.216,0.023,0.319,-1.825
280323912,2018-02-12,10:49:00:095000,BA,2018-02-23,325,C,64,AUTOX,X,1.35,21,2,450,19.65,21,396,100,396,-13.64,8,0.774,-119.229,17.989,0.012,0.404,7.486
280326990,2018-02-12,10:50:16:826000,DIA,2020-01-17,240,C,185,AUTOX,I,3.7,29.5,2,837,25.8,29.5,1990,100,1990,57.94,1,0.589,-6.347,132.323,0.006,0.177,226.787
280333094,2018-02-12,10:52:53:202000,VRX,2020-01-17,15,C,1592,AUTOX,X,1.2,7.65,2,2455,6.45,7.65,2755,100,2755,10.89,5,0.738,-1.307,8.074,0.021,0.617,11.889
280333831,2018-02-12,10:53:14:982000,HTHT,2018-02-16,145,C,168,AUTOX,X,1.35,3.3,5,101,1.95,3.3,433,100,433,76.67,17,0.41,-136.688,5.939,0.048,0.526,0.643
280333832,2018-02-12,10:53:14:982000,HTHT,2018-02-16,145,C,168,AUTOX,H,1.35,3.3,2,101,1.95,3.3,431,100,431,76.57,17,0.41,-136.688,5.939,0.048,0.526,0.643
280334960,2018-02-12,10:53:42:425000,DNB,2018-03-16,110,P,5,ISOI,Q,1,5.5,1,252,4.5,5.5,306,100,306,17.65,7,-0.475,-28.242,13.001,0.032,0.384,-5.035
280334961,2018-02-12,10:53:42:425000,DNB,2018-03-16,110,P,5,ISOI,M,1,5.5,1,247,4.5,5.5,301,100,301,17.94,7,-0.475,-28.242,13.001,0.032,0.384,-5.035
280336924,2018-02-12,10:54:28:934000,ANTM,2018-03-02,240,C,14,AUTOX,H,0.76,2.88,1,391,2.12,2.88,213,100,213,-83.57,2,0.3,-47.534,18.02,0.026,0.262,3.344
280336926,2018-02-12,10:54:28:940000,ANTM,2018-03-02,240,C,14,AUTOX,Q,0.76,2.88,1,400,2.12,2.88,206,100,206,-94.17,2,0.3,-47.534,18.02,0.026,0.262,3.344
280337989,2018-02-12,10:54:52:728000,UPS,2020-01-17,80,C,1,REG,W,3.15,29.9,30,102,27,30.15,722,84,722,85.87,6,0.896,-1.457,26.79,0.007,0.186,129.182
280339854,2018-02-12,10:55:29:206000,ULTA,2018-06-15,200,C,22,REG,M,2.8,25.5,1,128,22.7,25.5,185,100,185,30.81,2,0.603,-30.19,46.302,0.007,0.436,33.906
280346407,2018-02-12,10:57:38:635000,SPY,2020-12-18,180,P,137,AUTOX,E,2.61,9.21,1,75,6.6,9.21,3090,100,3090,97.57,2,-0.118,-3.569,88.497,0.002,0.236,-110.237
280348632,2018-02-12,10:58:34:742000,BIDU,2018-02-23,222.5,P,26,AUTOX,X,1,10,2,81,9,10,511,100,511,84.15,1,-0.51,-136.02,15.416,0.019,0.541,-3.726
280351777,2018-02-12,10:59:37:294000,BLK,2019-01-18,500,C,13,REG,M,3.5,67,2,137,63.5,67,198,100,198,30.81,3,0.631,-27.063,191.402,0.003,0.257,248.461
280351778,2018-02-12,10:59:37:294000,BLK,2019-01-18,500,C,13,REG,M,3.5,67,2,137,63.5,67,198,100,198,30.81,3,0.631,-27.063,191.402,0.003,0.257,248.461
280351779,2018-02-12,10:59:37:294000,BLK,2019-01-18,500,C,13,REG,M,3.5,67,1,137,63.5,67,198,100,198,30.81,3,0.631,-27.063,191.402,0.003,0.257,248.461
280353775,2018-02-12,11:00:11:662000,AMZN,2018-02-16,1402.5,C,66,AUTOX,H,1.15,16.05,3,20,14.9,16.05,191,100,191,89.53,50,0.354,-988.057,54.851,0.006,0.412,5.425
280353776,2018-02-12,11:00:11:662000,AMZN,2018-02-16,1402.5,C,66,AUTOX,T,1.15,16.05,1,20,14.9,16.05,191,100,191,89.53,50,0.354,-988.057,54.851,0.006,0.412,5.425
280353777,2018-02-12,11:00:11:662000,AMZN,2018-02-16,1402.5,C,66,AUTOX,J,1.15,16.05,1,20,14.9,16.05,188,100,188,89.36,50,0.354,-988.057,54.851,0.006,0.412,5.425
280354374,2018-02-12,11:00:23:830000,AMZN,2018-02-16,1382.5,C,50,REG,M,1.75,25.2,1,48,23.45,25.2,219,100,219,78.08,54,0.35,-1055.326,54.109,0.006,0.453,5.335
280358460,2018-02-12,11:01:56:560000,MRK,2020-01-17,67.5,C,319,AUTOX,T,0.95,2.44,5,311,1.49,2.44,411,100,411,24.33,4,0.256,-1.18,24.745,0.023,0.179,23.728
280359018,2018-02-12,11:02:09:916000,PANW,2018-02-23,155,C,237,AUTOX,A,0.8,3.85,1,396,3.05,3.85,599,100,599,33.89,20,0.513,-55.193,10.812,0.047,0.311,2.331
280359019,2018-02-12,11:02:09:917000,PANW,2018-02-23,155,C,237,REG,P,0.8,3.85,6,396,3.05,3.85,597,100,597,33.67,20,0.513,-55.193,10.812,0.047,0.311,2.331
280359020,2018-02-12,11:02:09:917000,PANW,2018-02-23,155,C,237,AUTOX,E,0.8,3.85,1,396,3.05,3.85,597,100,597,33.67,20,0.513,-55.193,10.812,0.047,0.311,2.331
